Team,Rim.Rank,Rim.Freq,Short.Mid.Rank,Short.Mid.Freq,Long.Mid.Rank,Long.Mid.Freq,Corner.Three.Rank,Corner.Three.Freq,Non.Corner.Rank,Non.Corner.Freq,Rim.Color,Rim.Opacity,Short.Mid.Color,Short.Mid.Opacity,Long.Mid.Color,Long.Mid.Opacity,Corner.Three.Color,Corner.Three.Opacity,Non.Corner.Color,Non.Corner.Opacity,Year,Location
San Antonio,18,32.3%,5,23.4%,4,14.2%,29,7.0%,26,23.1%,Gray,0.3,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2020,home
Toronto,21,31.8%,19,19.3%,20,8.3%,6,10.1%,7,30.5%,Blue,0.3,Gray,0.3,Gray,0.3,Red,0.3,Red,0.3,2020,home
Utah,24,28.9%,13,21.1%,30,4.3%,1,13.4%,2,32.3%,Blue,0.3,Gray,0.3,Blue,0.7,Red,0.7,Red,0.7,2020,home
Washington,30,25.5%,2,29.0%,1,15.7%,28,7.2%,28,22.5%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2020,home
Atlanta,14,33.2%,9,21.8%,16,9.8%,24,8.0%,16,27.1%,Gray,0.3,Red,0.3,Gray,0.3,Blue,0.3,Gray,0.3,2020,away
Boston,28,27.1%,7,23.0%,9,11.1%,23,8.1%,5,30.8%,Blue,0.7,Red,0.3,Red,0.3,Blue,0.3,Red,0.7,2020,away
Brooklyn,11,34.9%,12,21.2%,26,6.6%,16,8.5%,10,28.8%,Gray,0.3,Gray,0.3,Blue,0.7,Gray,0.3,Red,0.3,2020,away
Charlotte,7,38.4%,29,14.6%,23,7.7%,11,9.3%,9,30.1%,Red,0.3,Blue,0.7,Blue,0.3,Gray,0.3,Red,0.3,2020,away
Chicago,9,38.2%,27,15.2%,18,9.7%,8,9.6%,15,27.3%,Red,0.3,Blue,0.7,Gray,0.3,Red,0.3,Gray,0.3,2020,away
Cleveland,4,39.7%,8,22.3%,29,6.3%,26,7.6%,23,24.1%,Red,0.7,Red,0.3,Blue,0.7,Blue,0.7,Blue,0.3,2020,away
Dallas,26,28.8%,16,20.1%,12,10.2%,9,9.5%,3,31.4%,Blue,0.7,Gray,0.3,Gray,0.3,Red,0.3,Red,0.7,2020,away
Denver,23,29.7%,4,23.6%,10,11.0%,15,8.6%,17,27.0%,Blue,0.3,Red,0.7,Red,0.3,Gray,0.3,Gray,0.3,2020,away
Detroit,6,38.5%,20,19.1%,22,7.9%,19,8.4%,20,26.1%,Red,0.3,Gray,0.3,Blue,0.3,Gray,0.3,Gray,0.3,2020,away
Golden State,25,28.8%,11,21.4%,14,9.9%,13,8.9%,4,31.1%,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.7,2020,away
Houston,10,36.4%,26,15.3%,24,7.3%,5,10.4%,6,30.5%,Red,0.3,Blue,0.7,Blue,0.3,Red,0.7,Red,0.3,2020,away
Indiana,2,40.8%,23,17.0%,19,8.4%,25,7.7%,19,26.2%,Red,0.7,Blue,0.3,Gray,0.3,Blue,0.3,Gray,0.3,2020,away
LA Clippers,22,30.7%,18,19.3%,5,13.1%,3,11.1%,21,25.8%,Blue,0.3,Gray,0.3,Red,0.7,Red,0.7,Blue,0.3,2020,away
LA Lakers,3,40.5%,24,16.6%,17,9.8%,12,9.1%,24,24.1%,Red,0.7,Blue,0.3,Gray,0.3,Gray,0.3,Blue,0.3,2020,away
Memphis,20,31.9%,1,30.4%,28,6.4%,21,8.3%,27,23.0%,Gray,0.3,Red,0.7,Blue,0.7,Blue,0.3,Blue,0.7,2020,away
Miami,19,32.2%,21,18.2%,15,9.8%,2,11.5%,12,28.4%,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.7,Gray,0.3,2020,away
Milwaukee,15,32.6%,22,17.9%,11,10.9%,18,8.4%,8,30.1%,Gray,0.3,Blue,0.3,Gray,0.3,Gray,0.3,Red,0.3,2020,away
Minnesota,5,39.1%,25,15.9%,25,7.3%,10,9.5%,14,28.3%,Red,0.7,Blue,0.3,Blue,0.3,Red,0.3,Gray,0.3,2020,away
New Orleans,1,44.8%,28,14.8%,13,10.0%,22,8.1%,29,22.3%,Red,0.7,Blue,0.7,Gray,0.3,Blue,0.3,Blue,0.7,2020,away
New York,12,34.9%,15,20.2%,6,12.9%,7,9.8%,30,22.2%,Gray,0.3,Gray,0.3,Red,0.3,Red,0.3,Blue,0.7,2020,away
Oklahoma City,8,38.4%,17,19.3%,27,6.5%,27,7.4%,13,28.4%,Red,0.3,Gray,0.3,Blue,0.7,Blue,0.7,Gray,0.3,2020,away
Orlando,29,27.0%,6,23.4%,2,15.3%,30,5.6%,11,28.8%,Blue,0.7,Red,0.3,Red,0.7,Blue,0.7,Gray,0.3,2020,away
Philadelphia,13,33.7%,10,21.8%,8,12.4%,14,8.8%,25,23.3%,Gray,0.3,Red,0.3,Red,0.3,Gray,0.3,Blue,0.3,2020,away
Phoenix,27,28.0%,14,21.1%,3,14.5%,4,10.9%,22,25.6%,Blue,0.7,Gray,0.3,Red,0.7,Red,0.7,Blue,0.3,2020,away
Portland,17,32.3%,30,12.3%,7,12.6%,20,8.3%,1,34.5%,Gray,0.3,Blue,0.7,Red,0.3,Gray,0.3,Red,0.7,2020,away
Sacramento,16,32.5%,3,24.8%,21,7.9%,17,8.5%,18,26.3%,Gray,0.3,Red,0.7,Blue,0.3,Gray,0.3,Gray,0.3,2020,away
San Antonio,18,32.3%,5,23.4%,4,14.2%,29,7.0%,26,23.1%,Gray,0.3,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2020,away
Toronto,21,31.8%,19,19.3%,20,8.3%,6,10.1%,7,30.5%,Blue,0.3,Gray,0.3,Gray,0.3,Red,0.3,Red,0.3,2020,away
Utah,24,28.9%,13,21.1%,30,4.3%,1,13.4%,2,32.3%,Blue,0.3,Gray,0.3,Blue,0.7,Red,0.7,Red,0.7,2020,away
Washington,30,25.5%,2,29.0%,1,15.7%,28,7.2%,28,22.5%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2020,away
Atlanta,18,36.1%,12,19.6%,16,9.4%,16,7.8%,14,27.1%,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2019,home
Boston,22,34.1%,13,19.1%,12,11.0%,22,7.0%,7,28.7%,Blue,0.3,Gray,0.3,Gray,0.3,Blue,0.3,Red,0.3,2019,home
Brooklyn,7,39.4%,19,17.0%,26,6.5%,9,9.2%,10,28.0%,Red,0.3,Gray,0.3,Blue,0.7,Red,0.3,Red,0.3,2019,home
Charlotte,3,41.5%,21,16.2%,28,5.6%,15,8.2%,9,28.5%,Red,0.7,Blue,0.3,Blue,0.7,Gray,0.3,Red,0.3,2019,home
Chicago,1,42.6%,28,13.6%,25,7.2%,10,8.8%,11,27.9%,Red,0.7,Blue,0.7,Blue,0.3,Red,0.3,Gray,0.3,2019,home
Cleveland,10,37.4%,9,20.3%,19,8.4%,21,7.2%,19,26.7%,Red,0.3,Red,0.3,Gray,0.3,Blue,0.3,Gray,0.3,2019,home
Dallas,28,29.9%,8,20.3%,22,7.7%,5,9.9%,2,32.2%,Blue,0.7,Red,0.3,Blue,0.3,Red,0.7,Red,0.7,2019,home
Denver,13,36.5%,10,19.8%,8,13.2%,20,7.3%,28,23.2%,Gray,0.3,Red,0.3,Red,0.3,Gray,0.3,Blue,0.7,2019,home
Detroit,12,36.9%,7,21.0%,24,7.3%,3,11.0%,25,23.9%,Gray,0.3,Red,0.3,Blue,0.3,Red,0.7,Blue,0.3,2019,home
